empresa,ano,roa_%,investimento_pct_receita,alavancagem,tamanho_log_ativos
Empresa_16,2017-01-01,-4.74,8.54,0.392,7.643
Empresa_16,2018-01-01,-4.76,5.01,0.406,7.643
Empresa_16,2019-01-01,-4.77,7.21,0.559,7.643
Empresa_16,2020-01-01,-5.39,4.35,0.348,7.643
Empresa_16,2021-01-01,-3.29,7.61,0.575,7.643
Empresa_16,2022-01-01,-2.09,11.16,0.494,7.643
Empresa_16,2023-01-01,-1.07,11.12,0.361,7.643
Empresa_17,2014-01-01,3.89,7.04,0.456,9.126
Empresa_17,2015-01-01,5.26,15.13,0.554,9.126
Empresa_17,2016-01-01,2.23,10.5,0.436,9.126
Empresa_17,2017-01-01,1.0,7.84,0.364,9.126
Empresa_17,2018-01-01,3.68,12.17,0.32,9.126
Empresa_17,2019-01-01,1.66,10.14,0.297,9.126
Empresa_17,2020-01-01,0.82,5.48,0.474,9.126
Empresa_17,2021-01-01,1.24,8.93,0.332,9.126
Empresa_17,2022-01-01,3.77,10.76,0.185,9.126
Empresa_17,2023-01-01,-0.32,4.06,0.341,9.126
Empresa_18,2014-01-01,12.93,12.15,0.27,5.576
Empresa_18,2015-01-01,11.38,10.47,0.288,5.576
Empresa_18,2016-01-01,9.59,9.54,0.385,5.576
Empresa_18,2017-01-01,7.84,8.64,0.42,5.576
Empresa_18,2018-01-01,8.34,12.16,0.438,5.576
Empresa_18,2019-01-01,10.03,5.6,0.663,5.576
Empresa_18,2020-01-01,10.75,8.91,0.152,5.576
Empresa_18,2021-01-01,10.92,11.28,0.464,5.576
Empresa_18,2022-01-01,7.93,5.9,0.529,5.576
Empresa_18,2023-01-01,12.62,9.09,0.48,5.576
Empresa_19,2014-01-01,4.79,2.76,0.573,9.36
Empresa_19,2015-01-01,7.16,8.08,0.065,9.36
Empresa_19,2016-01-01,6.94,8.35,0.721,9.36
Empresa_19,2017-01-01,9.86,10.51,0.529,9.36
Empresa_19,2018-01-01,3.69,4.71,0.278,9.36
Empresa_19,2019-01-01,6.78,7.26,0.352,9.36
Empresa_19,2020-01-01,3.9,5.03,0.419,9.36
Empresa_19,2021-01-01,14.49,14.45,0.325,9.36
Empresa_19,2022-01-01,11.62,13.01,0.225,9.36
Empresa_19,2023-01-01,9.56,9.92,0.174,9.36
Empresa_20,2014-01-01,5.03,5.53,0.395,9.455
Empresa_20,2015-01-01,5.55,7.54,0.313,9.455
Empresa_20,2016-01-01,0.16,5.14,0.456,9.455
Empresa_20,2017-01-01,8.96,12.61,0.414,9.455
Empresa_20,2018-01-01,11.22,10.65,0.217,9.455
Empresa_20,2019-01-01,4.2,4.71,0.474,9.455
Empresa_20,2020-01-01,5.84,12.02,0.402,9.455
Empresa_20,2021-01-01,7.2,9.05,0.033,9.455
Empresa_20,2022-01-01,3.84,6.68,0.638,9.455
Empresa_20,2023-01-01,4.1,6.7,0.289,9.455
Empresa_21,2014-01-01,-0.35,4.08,0.371,9.739
Empresa_21,2015-01-01,1.71,7.53,0.426,9.739
Empresa_21,2016-01-01,4.07,6.3,0.417,9.739
Empresa_21,2017-01-01,4.02,10.87,0.384,9.739
Empresa_21,2018-01-01,2.93,3.12,0.517,9.739
Empresa_21,2019-01-01,3.06,9.1,0.635,9.739
Empresa_21,2020-01-01,0.96,6.82,0.636,9.739
Empresa_21,2021-01-01,4.93,9.82,0.458,9.739
Empresa_21,2022-01-01,6.53,13.21,0.268,9.739
Empresa_21,2023-01-01,0.16,1.7,0.242,9.739
Empresa_22,2014-01-01,2.01,8.9,0.299,8.754
Empresa_22,2015-01-01,2.48,8.46,0.463,8.754
Empresa_22,2016-01-01,3.57,5.62,0.665,8.754
Empresa_22,2017-01-01,5.88,11.28,0.501,8.754
Empresa_22,2018-01-01,2.76,6.46,0.486,8.754
Empresa_22,2019-01-01,3.33,6.67,0.398,8.754
Empresa_22,2020-01-01,9.88,10.68,0.255,8.754
Empresa_22,2021-01-01,4.14,4.96,0.335,8.754
Empresa_22,2022-01-01,3.07,5.47,0.327,8.754
Empresa_22,2023-01-01,-1.43,0.0,0.323,8.754
Empresa_23,2014-01-01,7.52,9.93,0.627,9.602
Empresa_23,2015-01-01,8.32,11.12,0.394,9.602
Empresa_23,2016-01-01,5.57,5.0,0.386,9.602
Empresa_23,2017-01-01,6.1,10.4,0.189,9.602
Empresa_23,2018-01-01,7.85,10.75,0.494,9.602
Empresa_23,2019-01-01,2.32,2.67,0.209,9.602
Empresa_23,2020-01-01,3.44,5.08,0.397,9.602
Empresa_23,2021-01-01,6.53,9.08,0.382,9.602
Empresa_23,2022-01-01,4.42,10.4,0.426,9.602
Empresa_23,2023-01-01,7.74,11.96,0.436,9.602
Empresa_24,2014-01-01,5.5,9.81,0.304,7.077
Empresa_24,2015-01-01,8.79,11.94,0.357,7.077
Empresa_24,2016-01-01,4.03,10.75,0.647,7.077
Empresa_24,2017-01-01,3.49,5.81,0.505,7.077
Empresa_24,2018-01-01,1.9,0.0,0.424,7.077
Empresa_24,2019-01-01,6.6,10.45,0.437,7.077
Empresa_24,2020-01-01,5.67,8.7,0.397,7.077
Empresa_24,2021-01-01,4.79,8.83,0.456,7.077
Empresa_24,2022-01-01,8.56,11.15,0.528,7.077
Empresa_24,2023-01-01,1.39,0.0,0.42,7.077
Empresa_25,2014-01-01,-0.4,3.5,0.588,9.722
Empresa_25,2015-01-01,1.28,6.52,0.617,9.722
Empresa_25,2016-01-01,4.09,9.05,0.205,9.722
Empresa_25,2017-01-01,1.96,12.29,0.568,9.722
Empresa_25,2018-01-01,4.91,12.23,0.644,9.722
Empresa_25,2019-01-01,0.8,6.86,0.174,9.722
Empresa_25,2020-01-01,1.81,6.26,0.441,9.722
Empresa_25,2021-01-01,0.99,5.74,0.152,9.722
Empresa_25,2022-01-01,-2.68,3.95,0.599,9.722
Empresa_25,2023-01-01,0.92,9.38,0.521,9.722
