preco_r$,area_m2,quartos,distancia_centro_km,idade_imovel_anos,padrao
281676.0,61.7,1,3.84,11,medio
441172.0,109.3,1,5.2,9,medio
405105.0,74.4,1,20.05,5,alto
543401.0,162.6,1,0.8,34,popular
426786.0,88.3,4,4.82,37,medio
543674.0,107.6,4,3.12,3,medio
271480.0,57.2,4,3.12,17,popular
226075.0,61.6,2,5.4,39,popular
443505.0,97.1,4,0.53,7,medio
267527.0,76.6,3,2.17,38,popular
375739.0,102.4,3,0.28,20,popular
193167.0,35.3,3,2.47,32,popular
400928.0,113.2,2,25.35,39,medio
211688.0,58.5,1,15.29,23,popular
750532.0,150.3,4,1.6,28,alto
367986.0,79.9,1,0.47,0,medio
480949.0,128.4,3,7.17,36,medio
146405.0,41.2,1,11.65,8,popular
363908.0,105.0,3,9.43,4,popular
256549.0,58.9,1,10.3,19,popular
413305.0,73.0,1,15.92,29,alto
398763.0,90.9,4,11.97,20,medio
341088.0,78.9,1,4.83,13,popular
515037.0,99.2,1,2.18,34,alto
611119.0,116.2,1,2.07,14,alto
593350.0,112.8,2,3.19,15,alto
365005.0,86.9,4,5.28,18,popular
210820.0,42.3,1,3.97,31,medio
309413.0,61.8,1,3.03,18,medio
340285.0,83.1,2,9.31,16,popular
131198.0,25.0,1,4.64,31,medio
384932.0,116.3,4,3.12,35,popular
505233.0,81.6,3,19.24,11,alto
327418.0,81.2,2,4.89,2,popular
611828.0,123.2,1,11.44,18,alto
402692.0,113.4,1,0.81,16,popular
564075.0,97.7,3,16.48,17,alto
374486.0,55.0,4,3.19,8,medio
364369.0,100.9,4,5.78,24,popular
395729.0,102.1,3,7.23,24,popular
422787.0,59.0,4,7.06,22,alto
425609.0,126.5,4,7.29,30,popular
558488.0,107.8,1,7.73,1,alto
357047.0,25.0,3,2.33,5,alto
333399.0,94.3,4,4.21,34,popular
275094.0,45.7,4,2.02,2,medio
550626.0,129.8,2,4.23,25,medio
612411.0,118.2,4,7.22,39,alto
254602.0,51.4,3,2.87,6,popular
223641.0,59.0,2,4.65,2,popular
389935.0,93.6,2,5.08,19,medio
332686.0,81.6,4,6.23,25,popular
533698.0,143.4,4,2.03,36,popular
484660.0,115.9,3,5.45,31,medio
382336.0,80.1,2,7.42,35,medio
421273.0,110.2,2,24.03,7,medio
286481.0,25.0,3,4.76,16,alto
384047.0,100.8,4,5.5,10,popular
600012.0,120.3,3,17.22,9,alto
357946.0,83.7,4,15.91,6,popular
416040.0,65.1,3,4.8,38,alto
437618.0,109.8,2,7.71,22,medio
587771.0,158.6,1,5.45,29,medio
442177.0,97.2,3,0.85,1,medio
242312.0,50.8,3,10.09,26,medio
492452.0,140.6,1,0.73,13,popular
219158.0,25.0,4,13.82,16,medio
411569.0,107.6,2,4.36,11,popular
336777.0,69.6,3,0.08,34,medio
628911.0,122.6,1,2.96,8,alto
393851.0,60.3,1,0.81,7,alto
514354.0,136.3,3,3.99,31,popular
510842.0,100.5,1,14.9,33,alto
214706.0,29.6,3,6.65,23,medio
136847.0,25.0,2,3.57,32,medio
337809.0,78.9,1,8.08,6,popular
484971.0,135.3,3,2.82,20,medio
435875.0,94.4,4,0.27,8,medio
492660.0,92.3,1,3.16,14,alto
395243.0,81.7,2,1.3,19,medio
364611.0,115.8,1,2.03,27,popular
466741.0,103.2,4,9.75,10,medio
420614.0,99.8,3,11.87,15,medio
412259.0,55.5,2,0.82,14,alto
531421.0,131.6,4,1.31,16,popular
601942.0,137.7,3,1.44,25,medio
262503.0,44.5,2,6.29,10,medio
556223.0,170.6,1,4.62,35,popular
371475.0,115.3,3,1.35,31,popular
503541.0,72.9,3,1.34,39,alto
140020.0,25.0,2,1.37,6,popular
380435.0,113.0,3,4.85,14,popular
458560.0,109.5,2,5.61,19,medio
299434.0,69.2,2,6.54,19,popular
199378.0,27.3,2,2.19,17,medio
447507.0,129.4,2,2.05,9,popular
364113.0,69.4,1,0.69,39,medio
382156.0,73.5,4,0.17,39,medio
734895.0,189.6,2,5.01,4,medio
764790.0,164.5,2,3.31,39,alto
379009.0,123.4,1,1.17,22,popular
354851.0,74.1,3,3.59,25,medio
450548.0,112.7,4,2.16,8,popular
169799.0,25.0,1,0.03,33,popular
401057.0,93.7,3,0.96,38,medio
276583.0,63.4,2,8.73,28,medio
165224.0,45.0,1,0.51,5,popular
318273.0,34.6,1,3.08,6,alto
422411.0,108.4,1,3.28,36,medio
434367.0,93.1,4,3.18,32,medio
561890.0,95.6,4,1.4,25,alto
545874.0,119.5,3,5.17,28,medio
449906.0,60.4,2,2.49,7,alto
420014.0,46.8,4,0.63,35,alto
243183.0,27.8,2,1.29,16,medio
527683.0,78.3,3,0.51,11,alto
448240.0,116.6,1,8.68,11,medio
351250.0,84.8,4,9.57,24,medio
493914.0,112.4,3,3.72,19,medio
383457.0,48.7,2,0.57,8,alto
507898.0,73.6,3,1.68,32,alto
443070.0,63.2,4,4.28,17,alto
342976.0,46.3,4,6.87,19,alto
616538.0,155.1,3,3.88,25,medio
437443.0,119.8,1,0.24,39,popular
248112.0,63.3,2,3.5,19,popular
278592.0,63.2,4,1.22,36,popular
368236.0,88.0,4,3.09,18,popular
317619.0,39.5,4,4.61,8,medio
399275.0,105.3,4,10.49,26,popular
227929.0,44.7,4,6.12,5,popular
326790.0,77.0,4,0.63,11,popular
344844.0,54.1,3,12.49,27,alto
375488.0,73.2,2,4.04,23,medio
227042.0,43.4,2,2.12,14,popular
226551.0,35.0,4,9.26,3,medio
402479.0,56.2,1,9.38,10,alto
346828.0,66.2,3,2.14,22,medio
289936.0,79.7,3,5.2,37,popular
495237.0,92.4,2,5.98,37,alto
513491.0,143.4,1,2.3,23,popular
611050.0,118.4,3,1.9,5,alto
469652.0,81.1,1,3.67,10,alto
459919.0,115.4,1,6.18,14,medio
248988.0,65.9,2,6.91,22,popular
529647.0,140.7,4,2.32,18,popular
370325.0,109.2,1,9.79,22,popular
227502.0,42.5,1,3.39,39,medio
398946.0,116.4,2,0.19,31,popular
491629.0,118.6,2,2.39,23,medio
211444.0,25.0,4,2.94,16,medio
459867.0,63.8,2,1.78,39,alto
300364.0,73.4,1,1.2,20,medio
133399.0,25.0,2,2.29,13,popular
436084.0,52.6,4,11.5,6,alto
262857.0,56.8,3,1.17,1,popular
464335.0,107.7,4,3.5,33,medio
308654.0,100.5,2,21.66,18,popular
604936.0,181.9,1,5.46,36,popular
470625.0,76.2,4,0.55,33,alto
539983.0,130.4,2,4.53,0,medio
418451.0,92.8,2,1.9,9,medio
396842.0,99.5,3,3.57,30,medio
221359.0,49.4,1,1.31,3,popular
70090.0,25.0,3,20.22,38,popular
417822.0,63.1,1,9.88,8,alto
434547.0,116.7,2,2.8,34,popular
