churn,idade,mensalidade_r$,tempo_contrato_meses,chamados_suporte,score_satisfacao
0,56,160.76,63,0,9.9
0,54,171.09,27,2,6.2
0,38,123.96,69,3,9.8
0,27,123.08,40,0,8.1
0,51,128.02,40,2,9.6
0,22,161.51,23,1,6.4
0,56,77.84,7,1,6.7
0,63,66.84,27,0,9.6
0,56,124.97,65,1,8.2
0,21,75.74,36,0,7.3
0,47,96.52,26,0,5.9
0,35,123.45,7,0,6.9
0,49,139.3,28,1,8.0
0,56,77.12,44,2,8.4
0,29,152.06,19,0,6.1
0,20,49.05,32,3,6.5
0,46,141.82,66,1,7.9
0,53,56.89,40,0,5.1
0,25,69.0,50,2,8.8
0,70,145.69,22,1,7.1
0,45,103.75,22,1,6.8
0,73,88.18,20,0,2.7
0,48,102.21,27,1,4.2
0,59,138.6,68,3,5.2
1,62,117.84,31,4,6.0
0,46,118.82,45,2,5.0
0,40,162.19,28,0,7.7
0,56,91.34,15,1,7.2
0,19,101.12,48,1,6.5
0,53,99.1,16,1,3.3
0,48,166.76,68,1,9.5
0,26,159.66,53,2,6.5
0,29,171.48,4,2,8.1
0,19,118.65,70,1,5.8
0,60,113.73,61,0,7.0
0,57,154.11,2,3,8.2
0,40,104.22,61,1,7.4
0,72,153.23,49,0,8.7
0,39,148.97,16,0,6.7
0,35,92.07,63,1,10.0
0,69,116.67,70,2,3.6
0,22,115.23,46,4,6.0
0,40,189.33,63,1,8.8
0,19,223.51,30,0,6.5
0,37,116.0,52,1,6.2
0,59,120.56,48,2,3.8
0,37,30.0,8,1,9.1
0,46,128.46,15,4,3.6
0,45,119.72,32,1,7.9
0,21,77.09,23,1,7.3
0,23,151.42,54,2,8.6
0,35,57.37,59,2,9.6
0,49,111.41,40,0,5.7
0,22,125.55,21,2,5.5
0,70,70.04,5,0,6.4
0,66,154.27,67,3,3.9
0,50,162.22,55,1,8.4
0,59,64.54,35,0,6.2
0,60,63.69,30,2,7.2
0,18,144.09,65,0,4.9
0,71,118.78,16,0,7.0
0,20,71.54,24,1,5.8
0,66,108.19,25,0,6.8
0,65,115.7,40,0,5.0
0,60,114.28,8,2,8.8
0,25,153.1,18,0,5.8
1,64,135.37,26,0,2.3
0,72,190.78,58,2,8.1
0,64,174.97,2,0,6.4
0,57,147.14,34,0,5.3
0,32,163.08,71,3,10.0
0,49,172.95,19,2,6.8
1,45,148.24,10,0,4.5
0,67,70.97,70,2,5.8
0,37,154.38,25,1,7.6
0,41,122.89,40,1,6.5
1,32,184.75,22,1,9.2
0,45,123.74,45,0,8.8
0,50,141.04,33,1,5.5
0,44,133.19,60,1,7.0
0,36,187.25,25,1,8.1
0,49,127.09,34,1,6.2
0,53,109.22,64,0,6.1
0,27,132.36,49,2,8.5
0,51,102.42,14,1,7.7
0,58,126.48,45,1,4.4
0,23,119.7,71,1,5.9
1,53,130.86,18,4,6.2
1,43,196.93,28,0,6.7
0,71,103.77,50,0,5.6
0,40,121.48,70,4,9.3
0,35,112.02,51,1,5.2
0,58,146.9,24,0,5.0
0,67,72.74,56,1,7.3
0,23,92.29,6,1,2.9
1,24,118.42,48,0,5.1
0,27,141.85,60,1,8.1
0,37,118.15,59,0,4.5
0,47,99.99,12,1,5.4
0,50,85.33,37,2,8.9
0,41,140.47,53,2,7.8
0,68,177.69,28,2,7.0
0,55,132.92,63,0,7.4
0,27,127.53,71,0,5.7
0,36,137.75,16,1,7.5
0,29,82.29,10,0,6.6
0,29,107.53,23,0,10.0
0,66,109.28,28,1,7.9
0,71,131.81,41,1,6.3
0,42,118.72,25,1,6.9
0,31,71.34,62,0,7.0
0,65,165.01,5,0,4.5
0,26,187.7,61,1,5.5
0,25,109.47,12,1,9.7
0,33,135.95,35,1,4.4
0,38,130.69,67,0,5.9
0,37,151.39,41,1,8.8
0,33,60.81,63,0,9.7
0,30,184.52,58,0,5.1
0,53,101.29,15,1,9.6
0,48,170.57,12,1,6.3
0,55,123.23,8,0,9.9
0,71,104.42,67,1,7.9
0,71,114.38,49,0,6.5
0,25,155.89,62,0,8.3
0,63,85.47,5,0,8.0
0,41,104.99,17,1,5.6
0,64,100.71,7,1,10.0
0,56,51.38,45,1,6.4
0,21,172.02,38,1,9.0
0,68,143.16,52,0,6.1
0,70,119.15,43,1,3.7
0,74,166.55,46,0,5.0
0,21,81.74,46,0,6.8
0,26,117.06,6,3,8.2
0,53,189.02,36,1,10.0
0,48,159.19,5,2,7.1
0,23,30.98,49,0,6.5
1,68,30.0,16,1,4.8
0,31,78.48,14,0,6.9
0,21,162.45,8,2,7.5
0,67,101.1,28,0,3.0
0,51,111.29,35,3,9.3
0,19,144.33,33,2,9.0
0,27,84.59,53,1,10.0
0,68,128.52,8,2,5.3
0,61,151.68,41,0,7.0
0,67,138.68,48,2,7.0
0,71,135.84,65,2,4.6
0,35,95.92,56,2,5.4
0,48,140.57,35,1,5.2
0,39,102.89,30,1,7.9
0,18,172.2,32,1,7.7
0,31,222.8,50,4,9.4
0,21,90.4,10,1,6.2
0,24,33.02,7,0,4.4
0,41,102.98,68,0,7.8
0,70,135.07,37,2,7.6
0,66,162.01,48,2,8.2
0,54,163.16,38,1,9.2
0,31,88.64,70,1,5.9
0,25,88.27,27,1,8.4
0,56,170.69,67,0,5.2
0,59,76.3,11,2,7.2
0,41,163.61,7,1,8.2
0,25,110.92,70,2,6.8
0,33,150.66,43,2,7.4
0,74,148.25,65,0,4.5
0,58,151.07,35,4,5.8
0,50,152.82,26,1,7.2
0,35,80.42,54,0,4.8
1,67,131.9,31,3,5.4
0,39,120.56,4,2,10.0
0,43,132.34,16,0,7.4
0,61,169.33,47,0,5.5
0,41,109.16,43,0,5.1
0,46,91.52,44,0,9.4
1,19,90.88,5,0,1.9
0,62,107.57,27,0,6.3
0,34,150.1,54,0,8.0
0,47,87.41,9,1,5.8
0,49,166.37,56,6,7.8
0,27,131.62,49,0,4.9
0,31,110.96,61,0,6.8
0,43,66.73,4,1,6.9
0,23,129.8,20,3,6.8
0,67,147.66,24,1,7.1
0,37,49.37,30,1,6.9
0,50,167.68,2,1,8.8
0,26,185.91,65,0,6.3
0,72,133.54,22,1,5.7
0,44,139.67,30,0,6.3
0,18,216.55,18,1,6.2
0,37,169.28,14,2,4.0
0,37,84.09,44,1,3.3
0,31,119.33,52,1,4.3
0,61,113.72,49,3,7.3
0,73,113.96,18,2,5.6
0,57,30.0,51,2,6.0
0,28,150.28,13,1,10.0
0,49,94.53,30,0,8.8
0,44,126.55,65,0,6.4
0,55,114.55,54,0,5.6
0,65,154.84,13,3,9.2
0,67,108.17,47,1,5.4
0,63,88.18,24,1,9.0
0,56,141.3,38,2,7.8
0,43,176.2,6,0,9.3
0,49,107.21,56,0,5.5
0,28,174.8,70,3,8.4
0,50,130.49,69,4,3.5
0,47,98.69,53,2,6.4
0,55,181.01,35,1,8.7
0,44,87.25,31,1,8.0
0,36,160.56,69,2,3.4
0,47,100.07,17,4,8.0
0,56,138.01,45,1,7.6
0,29,70.63,50,1,6.6
0,53,86.5,28,0,5.4
0,37,162.6,30,2,6.2
0,62,127.52,34,1,5.7
0,51,121.53,8,2,8.5
0,45,102.41,47,2,7.6
0,20,137.86,65,1,8.7
0,19,64.11,23,0,8.0
0,31,75.2,46,0,4.4
0,48,113.69,66,3,7.0
0,45,86.63,35,2,10.0
0,66,91.98,28,1,4.7
0,25,117.14,42,1,7.3
0,54,114.5,45,2,5.3
0,40,111.1,46,1,5.1
0,54,186.61,62,4,7.1
0,23,160.44,23,3,8.4
0,40,169.19,59,1,8.1
0,26,118.87,5,1,7.6
0,38,99.81,48,2,8.5
0,28,61.84,33,1,3.8
0,58,106.07,51,1,8.2
0,56,36.56,1,0,7.5
0,22,96.65,54,1,6.4
0,35,150.57,13,1,6.7
0,67,184.86,42,1,5.2
0,69,158.62,37,0,8.8
0,67,85.54,31,1,5.4
0,24,139.7,54,1,4.1
0,72,88.43,64,4,6.7
0,41,152.92,68,1,5.7
0,25,115.55,12,0,6.6
0,58,154.33,20,2,9.5
0,24,222.92,10,1,6.5
0,20,156.9,40,2,7.0
0,68,213.3,23,0,10.0
0,24,127.1,1,1,4.2
0,40,106.81,17,0,7.4
0,68,173.35,71,0,8.9
0,33,188.97,70,1,9.5
0,33,97.8,37,0,10.0
0,39,123.07,38,2,5.6
0,61,62.62,24,0,7.9
0,55,112.0,63,4,6.6
0,35,155.53,67,0,5.9
0,27,116.54,40,0,5.4
0,42,97.23,9,1,4.1
0,45,63.71,16,2,7.4
0,41,134.73,56,0,8.1
0,55,151.9,63,1,4.8
0,23,143.86,63,0,8.1
0,59,130.21,63,1,5.8
0,48,69.04,60,0,4.9
1,18,190.47,9,1,2.0
0,56,117.74,30,1,8.8
0,64,114.21,55,1,8.1
0,38,149.32,17,0,6.2
0,42,33.47,41,0,6.1
0,50,117.42,12,3,4.4
0,42,114.53,13,3,7.7
0,47,134.89,42,2,6.7
0,50,173.89,24,1,7.8
0,52,138.89,34,0,7.1
0,33,46.72,53,0,4.2
0,24,106.44,8,1,4.0
0,68,128.22,14,0,7.5
0,43,125.89,8,0,3.7
0,30,68.75,44,0,7.3
0,74,53.45,5,4,8.4
1,48,141.96,38,2,4.5
0,36,133.74,19,1,8.0
0,27,119.15,38,2,6.9
0,18,50.98,51,2,7.8
0,53,190.96,13,1,5.7
0,53,30.0,58,2,6.8
0,69,105.44,59,3,7.6
0,73,203.65,42,2,10.0
0,68,113.7,39,0,8.2
0,21,129.28,43,0,7.8
0,25,72.83,49,0,4.5
0,51,174.35,62,0,7.5
0,53,68.3,45,0,5.6
0,29,130.18,60,0,6.8
0,68,125.4,23,1,7.4
0,71,77.97,14,1,8.6
0,29,155.48,53,4,8.0
0,54,63.36,40,0,7.2
0,41,92.66,29,0,6.8
0,49,118.85,9,0,9.4
0,58,103.5,66,0,5.3
0,46,138.71,49,1,7.0
0,60,156.96,33,0,9.4
0,33,108.25,35,1,6.6
0,43,98.34,14,2,8.4
0,26,99.32,6,3,8.5
0,54,105.38,33,3,10.0
0,40,152.39,40,0,9.0
1,56,111.3,28,1,3.9
0,73,136.31,54,3,6.9
0,38,116.35,68,1,7.4
0,62,86.22,45,1,8.4
0,55,154.55,22,1,7.6
